probe_id,log2FC,p_adj,kategori,gene_symbol,gene_title
212777_at,0.7079,2.844956339098635e-24,Artan,SOS1,son of sevenless homolog 1 (Drosophila)
238143_at,1.4613,4.1504350238324257e-16,Artan,LYPD8,LY6/PLAUR domain containing 8
221690_s_at,1.1014,8.8627440610053e-14,Artan,NLRP2,"NLR family, pyrin domain containing 2"
206777_s_at,1.137,3.94733525087935e-12,Artan,CRYBB2 /// CRYBB2P1,"crystallin, beta B2 /// crystallin, beta B2 pseudogene 1"
243727_at,0.662,2.2173369250613265e-11,Artan,CPNE8,copine VIII
1554411_at,0.7731,2.0960003901547294e-10,Artan,CTNNB1,"catenin (cadherin-associated protein), beta 1, 88kDa"
202203_s_at,0.8299,1.5941456991763204e-09,Artan,AMFR,"autocrine motility factor receptor, E3 ubiquitin protein ligase"
205048_s_at,1.6715,1.873658009332039e-09,Artan,PSPH,phosphoserine phosphatase
1553410_a_at,1.174,2.0138852401340326e-08,Artan,ABCC12,"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"
233547_x_at,0.6495,2.0625639452812726e-08,Artan,PDE1A,"phosphodiesterase 1A, calmodulin-dependent"
235082_at,0.5037,4.850529333850599e-08,Artan,PCNX,pecanex homolog (Drosophila)
1558680_s_at,0.6583,1.2939593552337775e-07,Artan,PDE1A,"phosphodiesterase 1A, calmodulin-dependent"
230352_at,0.7392,1.6693721773698135e-07,Artan,PRPS2,phosphoribosyl pyrophosphate synthetase 2
223592_s_at,-0.5389,2.4361705631281543e-07,Azalan,RNF135,ring finger protein 135
233210_at,0.583,2.6614302016901115e-07,Artan,FLJ12120,uncharacterized LOC388439
214980_at,0.6614,2.9480242354199846e-07,Artan,UBE3A,ubiquitin protein ligase E3A
207693_at,0.6293,3.595977224585101e-07,Artan,CACNB4,"calcium channel, voltage-dependent, beta 4 subunit"
205439_at,0.7617,5.800527506029485e-07,Artan,GSTT2,glutathione S-transferase theta 2
232263_at,0.6758,6.543201924712374e-07,Artan,SLC6A15,"solute carrier family 6 (neutral amino acid transporter), member 15"
242789_at,0.645,1.1131255093367065e-06,Artan,PDE1A,"phosphodiesterase 1A, calmodulin-dependent"
201141_at,-0.6767,1.1697000004742595e-06,Azalan,GPNMB,glycoprotein (transmembrane) nmb
219666_at,-0.9278,1.205628428159509e-06,Azalan,MS4A6A,"membrane-spanning 4-domains, subfamily A, member 6A"
214821_at,0.5079,2.21173870497071e-06,Artan,SLC25A4,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4"
1558444_at,0.659,2.6004190744118694e-06,Artan,DQ592442,"Homo sapiens cDNA FLJ35140 fis, clone PLACE6009524."
223708_at,0.5453,2.6313995104345927e-06,Artan,C1QTNF4,C1q and tumor necrosis factor related protein 4
207099_s_at,0.7333,3.1065360533168823e-06,Artan,CHM,choroideremia (Rab escort protein 1)
227506_at,-0.676,3.104637437572948e-06,Azalan,SLC16A9,"solute carrier family 16, member 9"
1552878_at,0.6361,3.456753948165072e-06,Artan,ATOH7,atonal homolog 7 (Drosophila)
1569013_s_at,0.5871,3.892333355104392e-06,Artan,BMS1P20 /// LOC101929959,BMS1 pseudogene 20 /// ribosome biogenesis protein BMS1 homolog
1554592_a_at,0.7675,4.55493807189381e-06,Artan,SLC1A6,"solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6"
227340_s_at,0.5839,5.015543561128577e-06,Artan,RGMB,repulsive guidance molecule family member b
232904_at,0.6844,5.467014442408343e-06,Artan,SLC7A14,"solute carrier family 7, member 14"
228532_at,-0.6154,5.524533204135251e-06,Azalan,C1orf162,chromosome 1 open reading frame 162
228795_at,0.6659,5.496607296506561e-06,Artan,PRKCB,"protein kinase C, beta"
1554593_s_at,0.6064,5.859830991654759e-06,Artan,SLC1A6,"solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6"
203085_s_at,-0.6366,6.108665831420268e-06,Azalan,TGFB1,"transforming growth factor, beta 1"
1557180_at,0.6208,6.2303460885431e-06,Artan,C11orf87,chromosome 11 open reading frame 87
210872_x_at,0.5195,7.524868765387833e-06,Artan,GAS7,growth arrest-specific 7
235948_at,0.6511,8.507968146105995e-06,Artan,RIMKLA,ribosomal modification protein rimK-like family member A
236107_at,-0.6029,9.267549046866336e-06,Azalan,UBE2Z,ubiquitin-conjugating enzyme E2Z
208221_s_at,0.5764,9.478190575720062e-06,Artan,SLIT1,slit homolog 1 (Drosophila)
239500_at,0.6362,9.46794406888315e-06,Artan,EFCAB1,EF-hand calcium binding domain 1
1552879_a_at,0.5209,1.0875551255827427e-05,Artan,ATOH7,atonal homolog 7 (Drosophila)
1552760_at,0.702,1.1056370659233746e-05,Artan,HDAC9,histone deacetylase 9
214589_at,0.6107,1.1189912852757337e-05,Artan,FGF12,fibroblast growth factor 12
234904_x_at,0.6256,1.1284577414841012e-05,Artan,ELAVL4,ELAV like neuron-specific RNA binding protein 4
206089_at,0.5473,1.1715835375422495e-05,Artan,NELL1,NEL-like 1 (chicken)
215020_at,0.5486,1.2507823288483788e-05,Artan,NRXN3,neurexin 3
1562234_a_at,0.5981,1.247995738474819e-05,Artan,NAV3,neuron navigator 3
204787_at,-0.7466,1.3354978423048711e-05,Azalan,VSIG4,V-set and immunoglobulin domain containing 4
225239_at,-0.5754,1.3630450525319355e-05,Azalan,MIR612 /// NEAT1,microRNA 612 /// nuclear paraspeckle assembly transcript 1 (non-protein coding)
240974_at,0.5224,1.4101096182143346e-05,Artan,LOC100506851,uncharacterized LOC100506851
213807_x_at,0.5768,1.4358411121372211e-05,Artan,MET,"MET proto-oncogene, receptor tyrosine kinase"
227339_at,0.518,1.4301698912125544e-05,Artan,RGMB,repulsive guidance molecule family member b
